image_id,image_path,species_name,venom_type,symptoms,reaction_stage,severity_level,first_aid,label_id,hospital_importance
img_076,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting2.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",76,Seek hospital — airway
img_077,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting3.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",77,Seek hospital — airway
img_078,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting4.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",78,Seek hospital — airway
img_079,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting5.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",79,Seek hospital — airway
img_080,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting6.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",80,Seek hospital — airway
img_081,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting7.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",81,Seek hospital — airway
img_082,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting8.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",82,Seek hospital — airway
img_083,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting9.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",83,Seek hospital — airway
img_084,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_sting10.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",84,Seek hospital — airway
img_085,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Sting11.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",85,Seek hospital — airway
img_086,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee_Stings_eye4.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",86,Seek hospital — stings near eyes or face can swell dangerously
img_087,C:\Users\Purva\snakebite_project\data\images\bee_sting\bee-stings-on-the-eye.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate (seconds→minutes); swelling peaks hours,Worst: Anaphylaxis (life-threatening),"Remove visible stinger (scrape), wash area, cold pack, oral antihistamine/analgesic; if severe facial/airway swelling or breathing issues, use epinephrine if available and call emergency services.",87,Seek hospital — stings near eyes or face can swell dangerously
img_088,C:\Users\Purva\snakebite_project\data\images\black_widow_bite\black_widow_bite1.jpg,Latrodectus mactans and others,Neurotoxic Venom (alpha-latrotoxin),"""Pinprick"" bite that may develop into two fang marks",Immediate → hours,"Severe systemic envenomation (muscle spasm, autonomic instability)","Clean wound, cold pack for local pain, keep patient calm; seek medical care — analgesia, monitoring; antivenom may be given in severe cases",88,🚨 Immediate hospital — antivenom + muscle spasm monitoring
img_089,C:\Users\Purva\snakebite_project\data\images\black_widow_bite\black_widow_bite2.jpg,Latrodectus mactans and others,Neurotoxic Venom (alpha-latrotoxin),"""Pinprick"" bite that may develop into two fang marks",Immediate → hours,"Severe systemic envenomation (muscle spasm, autonomic instability)","Clean wound, cold pack for local pain, keep patient calm; seek medical care — analgesia, monitoring; antivenom may be given in severe cases",89,🚨 Immediate hospital — antivenom + muscle spasm monitoring
img_090,C:\Users\Purva\snakebite_project\data\images\black_widow_bite\black_widow_bite3.jpg,Latrodectus mactans and others,Neurotoxic Venom (alpha-latrotoxin),"""Pinprick"" bite that may develop into two fang marks",Immediate → hours,"Severe systemic envenomation (muscle spasm, autonomic instability)","Clean wound, cold pack for local pain, keep patient calm; seek medical care — analgesia, monitoring; antivenom may be given in severe cases",90,🚨 Immediate hospital — antivenom + muscle spasm monitoring
img_091,C:\Users\Purva\snakebite_project\data\images\brown_recluse_bite\brown_recluse_bite1.jpg,Loxosceles reclusa,Cytotoxic and Hemotoxic venom,"Often painless initially. Redness and a ""bullseye"" pattern may appear",Often delayed: 24–72+ hours for necrosis,"Worst: Necrotic lesion, secondary infection, systemic hemolysis (rare)","Wash with soap & water, cold compress, keep limb elevated, monitor closely; seek medical evaluation early for wound care and follow-up",91,"🏥 Seek hospital — necrosis risk, requires monitoring"
img_092,C:\Users\Purva\snakebite_project\data\images\brown_widow_bite\brown_widow_bite1.jpg,Latrodectus geometricus,Neurotoxic Venom,"painful bite, possible muscle cramps and sweating",Immediate → hours,Worst: Moderate systemic effects,"Clean wound, cold compress, analgesia, medical evaluation if systemic signs occur",92,
img_093,C:\Users\Purva\snakebite_project\data\images\brown_widow_bite\brown_widow_bite2.jpg,Latrodectus geometricus,Neurotoxic Venom,"painful bite, possible muscle cramps and sweating",Immediate → hours,Worst: Moderate systemic effects,"Clean wound, cold compress, analgesia, medical evaluation if systemic signs occur",93,
img_094,C:\Users\Purva\snakebite_project\data\images\cheiracanthium_bite\Cheiracanthium_bite1.jpg,Cheiracanthium spp.,Cytotoxic Venom,Immediate burning sensation. Redness and swelling. Can develop a blister or small ucler,Immediate → hours,"Low (painful bite, mild inflammation)","Clean with soap & water, cold pack, analgesics, antihistamine for itch; see clinician if worsening",94,visit if severe burning or ulcer 
img_095,C:\Users\Purva\snakebite_project\data\images\cheiracanthium_bite\Cheiracanthium_furculatum_bite.jpg,Cheiracanthium spp.,Cytotoxic Venom,Immediate burning sensation. Redness and swelling. Can develop a blister or small ucler,Immediate → hours,"Low (painful bite, mild inflammation)","Clean with soap & water, cold pack, analgesics, antihistamine for itch; see clinician if worsening",95,visit if severe burning or ulcer 
img_096,C:\Users\Purva\snakebite_project\data\images\cheiracanthium_bite\Cheiracanthium_punctorium_after_bite.jpg,Cheiracanthium spp.,Cytotoxic Venom,Immediate burning sensation. Redness and swelling. Can develop a blister or small ucler,Immediate → hours,"Low (painful bite, mild inflammation)","Clean with soap & water, cold pack, analgesics, antihistamine for itch; see clinician if worsening",96,visit if severe burning or ulcer 
img_097,C:\Users\Purva\snakebite_project\data\images\cheiracanthium_bite\Cheiracanthium_punctorium_after_bite2.jpg,Cheiracanthium spp.,Cytotoxic Venom,Immediate burning sensation. Redness and swelling. Can develop a blister or small ucler,Immediate → hours,"Low (painful bite, mild inflammation)","Clean with soap & water, cold pack, analgesics, antihistamine for itch; see clinician if worsening",97,visit if severe burning or ulcer 
img_098,C:\Users\Purva\snakebite_project\data\images\fire_ant_bite\fire_ant_bites1.jpg,Solenopsis invicta,Alkaloid Venom,Intense burning and itching,Immediate pain → pustules form within hours,Anaphylaxis or widespread stings → systemic collapse,"Remove ants, wash, cold compress, oral antihistamine, topical steroid for itch; monitor for allergic reaction",98,hospital only if anaphylaxis or large-area swelling
img_099,C:\Users\Purva\snakebite_project\data\images\fire_ant_bite\fire_ant_bites2.jpg,Solenopsis invicta,Alkaloid Venom,Intense burning and itching,Immediate pain → pustules form within hours,Anaphylaxis or widespread stings → systemic collapse,"Remove ants, wash, cold compress, oral antihistamine, topical steroid for itch; monitor for allergic reaction",99,Optional — hospital only if anaphylaxis or large-area swelling
img_100,C:\Users\Purva\snakebite_project\data\images\fire_ant_bite\fire_ant_bites3.jpg,Solenopsis invicta,Alkaloid Venom,Intense burning and itching,Immediate pain → pustules form within hours,Anaphylaxis or widespread stings → systemic collapse,"Remove ants, wash, cold compress, oral antihistamine, topical steroid for itch; monitor for allergic reaction",100,Optional — hospital only if anaphylaxis or large-area swelling
img_101,C:\Users\Purva\snakebite_project\data\images\fire_ant_bite\fire_ant_bites4(solenopsis invicta).jpg,Solenopsis invicta,Alkaloid Venom,Intense burning and itching,Immediate pain → pustules form within hours,Anaphylaxis or widespread stings → systemic collapse,"Remove ants, wash, cold compress, oral antihistamine, topical steroid for itch; monitor for allergic reaction",101,Optional — hospital only if anaphylaxis or large-area swelling
img_102,C:\Users\Purva\snakebite_project\data\images\fire_ant_bite\fire_ant_bites5.jpg,Solenopsis invicta,Alkaloid Venom,Intense burning and itching,Immediate pain → pustules form within hours,Anaphylaxis or widespread stings → systemic collapse,"Remove ants, wash, cold compress, oral antihistamine, topical steroid for itch; monitor for allergic reaction",102,Optional — hospital only if anaphylaxis or large-area swelling
img_103,C:\Users\Purva\snakebite_project\data\images\fire_ant_bite\imported_fire_ant_bites2.jpg,Solenopsis invicta,Alkaloid Venom,Intense burning and itching,Immediate pain → pustules form within hours,Anaphylaxis or widespread stings → systemic collapse,"Remove ants, wash, cold compress, oral antihistamine, topical steroid for itch; monitor for allergic reaction",103,Optional — hospital only if anaphylaxis or large-area swelling
img_104,C:\Users\Purva\snakebite_project\data\images\honeybee_sting\honeyBee_Sting.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"Sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate → hours,Anaphylaxis,"Remove stinger, wash, cold compress, antihistamine/analgesic; epinephrine if anaphylaxis",104,"visit hospital only if:breathing difficulty, severe swelling, stinger in eye or throat, Otherwise: home care is enough"
img_105,C:\Users\Purva\snakebite_project\data\images\honeybee_sting\honeyBee_Sting2.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"Sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate → hours,Anaphylaxis,"Remove stinger, wash, cold compress, antihistamine/analgesic; epinephrine if anaphylaxis",105,"visit hospital only if:breathing difficulty, severe swelling, stinger in eye or throat, Otherwise: home care is enough"
img_106,C:\Users\Purva\snakebite_project\data\images\honeybee_sting\honeyBee_Sting3.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"Sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate → hours,Anaphylaxis,"Remove stinger, wash, cold compress, antihistamine/analgesic; epinephrine if anaphylaxis",106,"visit hospital only if:breathing difficulty, severe swelling, stinger in eye or throat, Otherwise: home care is enough"
img_107,C:\Users\Purva\snakebite_project\data\images\honeybee_sting\honeyBee_Sting4.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"Sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate → hours,Anaphylaxis,"Remove stinger, wash, cold compress, antihistamine/analgesic; epinephrine if anaphylaxis",107,"visit hospital only if:breathing difficulty, severe swelling, stinger in eye or throat, Otherwise: home care is enough"
img_108,C:\Users\Purva\snakebite_project\data\images\honeybee_sting\honeyBee_Sting5.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"Sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate → hours,Anaphylaxis,"Remove stinger, wash, cold compress, antihistamine/analgesic; epinephrine if anaphylaxis",108,"visit hospital only if:breathing difficulty, severe swelling, stinger in eye or throat, Otherwise: home care is enough"
img_109,C:\Users\Purva\snakebite_project\data\images\honeybee_sting\honeyBee_Sting6.jpg,Apis mellifera,Cytotoxic and Necrotic Venom,"Sharp, burning pain. Instant redness, swelling and itching around the site ",Immediate → hours,Anaphylaxis,"Remove stinger, wash, cold compress, antihistamine/analgesic; epinephrine if anaphylaxis",109,"visit hospital only if:breathing difficulty, severe swelling, stinger in eye or throat, Otherwise: home care is enough"
img_110,C:\Users\Purva\snakebite_project\data\images\hornet_bite\hornet_bite.jpg,Hornets,Cytotoxic Venom. Stinger NOT typically left behind,"sharp, intense pain. Redness, swelling and itching",Immediate,Worst: Anaphylaxis or multiple stings causing systemic toxicity,"Remove stinger (if present), cold compress, oral antihistamine, analgesic; seek urgent care if systemic signs",110,🚨 Urgent emergency care — high venom toxicity + swelling of airway
img_111,C:\Users\Purva\snakebite_project\data\images\hornet_bite\hornet_bite2.jpg,Hornets,Cytotoxic Venom. Stinger NOT typically left behind,"sharp, intense pain. Redness, swelling and itching",Immediate,Worst: Anaphylaxis or multiple stings causing systemic toxicity,"Remove stinger (if present), cold compress, oral antihistamine, analgesic; seek urgent care if systemic signs",111,🚨 Urgent emergency care — high venom toxicity + swelling of airway
img_112,C:\Users\Purva\snakebite_project\data\images\hornet_bite\hornet_bite3.jpg,Hornets,Cytotoxic Venom. Stinger NOT typically left behind,"sharp, intense pain. Redness, swelling and itching",Immediate,Worst: Anaphylaxis or multiple stings causing systemic toxicity,"Remove stinger (if present), cold compress, oral antihistamine, analgesic; seek urgent care if systemic signs",112,🚨 Urgent emergency care — high venom toxicity + swelling of airway
img_113,C:\Users\Purva\snakebite_project\data\images\hynopetra_sting\hynopetra_stings1.jpg,Hymenoptera,Cytotoxic Venom,"This is the scientific order for bees, wasps, ants. Symptoms are the same as above",Immediate,Worst: Anaphylaxis,"Cold pack, wash, antihistamine, analgesic; emergency care if systemic reaction",113,hospital if systemic symptoms
img_114,C:\Users\Purva\snakebite_project\data\images\loxosceles_recluse_bite\Loxosceles_recluse_bite1.jpg,Loxosceles reclusa,Cytotoxic and Hemotoxic venom,"often painless initially. Redness and a ""bullseye"" pattern may appear",Often delayed: 24–72+ hours,"Worst: Necrosis, infection, rare systemic hemolysis","Clean wound, cold pack, keep elevated; seek medical assessment early to monitor necrosis and wound care. Avoid unnecessary early surgery; antibiotics if secondary infection",114,"🏥 Seek hospital — necrosis risk, requires monitoring"
img_115,C:\Users\Purva\snakebite_project\data\images\loxosceles_recluse_bite\Loxosceles_recluse_bite2.jpg,Loxosceles reclusa,Cytotoxic and Hemotoxic venom,"often painless initially. Redness and a ""bullseye"" pattern may appear",Often delayed: 24–72+ hours,"Worst: Necrosis, infection, rare systemic hemolysis","Clean wound, cold pack, keep elevated; seek medical assessment early to monitor necrosis and wound care. Avoid unnecessary early surgery; antibiotics if secondary infection",115,"🏥 Seek hospital — necrosis risk, requires monitoring"
img_116,C:\Users\Purva\snakebite_project\data\images\loxosceles_recluse_bite\Loxosceles_recluse_bite3.jpg,Loxosceles reclusa,Cytotoxic and Hemotoxic venom,"often painless initially. Redness and a ""bullseye"" pattern may appear",Often delayed: 24–72+ hours,"Worst: Necrosis, infection, rare systemic hemolysis","Clean wound, cold pack, keep elevated; seek medical assessment early to monitor necrosis and wound care. Avoid unnecessary early surgery; antibiotics if secondary infection",116,"🏥 Seek hospital — necrosis risk, requires monitoring"
img_117,C:\Users\Purva\snakebite_project\data\images\loxosceles_recluse_bite\Loxosceles_recluse_bite4.jpg,Loxosceles reclusa,Cytotoxic and Hemotoxic venom,"often painless initially. Redness and a ""bullseye"" pattern may appear",Often delayed: 24–72+ hours,"Worst: Necrosis, infection, rare systemic hemolysis","Clean wound, cold pack, keep elevated; seek medical assessment early to monitor necrosis and wound care. Avoid unnecessary early surgery; antibiotics if secondary infection",117,"🏥 Seek hospital — necrosis risk, requires monitoring"
img_118,C:\Users\Purva\snakebite_project\data\images\loxosceles_recluse_bite\Loxosceles_recluse_bite5.jpg,Loxosceles reclusa,Cytotoxic and Hemotoxic venom,"often painless initially. Redness and a ""bullseye"" pattern may appear",Often delayed: 24–72+ hours,"Worst: Necrosis, infection, rare systemic hemolysis","Clean wound, cold pack, keep elevated; seek medical assessment early to monitor necrosis and wound care. Avoid unnecessary early surgery; antibiotics if secondary infection",118,"🏥 Seek hospital — necrosis risk, requires monitoring"
img_119,C:\Users\Purva\snakebite_project\data\images\loxosceles_recluse_bite\Loxosceles_recluse_bite6.jpg,Loxosceles reclusa,Cytotoxic and Hemotoxic venom,"often painless initially. Redness and a ""bullseye"" pattern may appear",Often delayed: 24–72+ hours,"Worst: Necrosis, infection, rare systemic hemolysis","Clean wound, cold pack, keep elevated; seek medical assessment early to monitor necrosis and wound care. Avoid unnecessary early surgery; antibiotics if secondary infection",119,"🏥 Seek hospital — necrosis risk, requires monitoring"
img_120,C:\Users\Purva\snakebite_project\data\images\loxosceles_recluse_bite\Loxosceles_recluse_bite7.jpg,Loxosceles reclusa,Cytotoxic and Hemotoxic venom,"often painless initially. Redness and a ""bullseye"" pattern may appear",Often delayed: 24–72+ hours,"Worst: Necrosis, infection, rare systemic hemolysis","Clean wound, cold pack, keep elevated; seek medical assessment early to monitor necrosis and wound care. Avoid unnecessary early surgery; antibiotics if secondary infection",120,"🏥 Seek hospital — necrosis risk, requires monitoring"
img_121,C:\Users\Purva\snakebite_project\data\images\loxosceles_rufescens_bite\Loxosceles_rufescens_bite1.jpg,Loxosceles rufescens,Cytotoxic and Hemotoxic venom,"Very similar to the Brown Recluse bite, but often less severe. Can cause a necrotic lesion",Delayed 24–72h,Worst: Necrotic ulcer,"Clean, cold pack, keep elevated, medical follow-up",121,"🏥 Seek hospital — necrosis risk, requires monitoring"
img_122,C:\Users\Purva\snakebite_project\data\images\loxosceles_rufescens_bite\Loxosceles_rufescens_bite2.jpg,Loxosceles rufescens,Cytotoxic and Hemotoxic venom,"Very similar to the Brown Recluse bite, but often less severe. Can cause a necrotic lesion",Delayed 24–72h,Worst: Necrotic ulcer,"Clean, cold pack, keep elevated, medical follow-up",122,"🏥 Seek hospital — necrosis risk, requires monitoring"
img_123,C:\Users\Purva\snakebite_project\data\images\mud_dauber_bite\mud_Dauber1.jpg,Mud Dauber Wasp,Cytotoxic Venom (mild),"Pain, redness, and slight swelling. They are not aggressive and stings are rare",Immediate,Worst: Allergic reaction very rare,"Clean area, cold compress, analgesic, antihistamine for itching",123,Optional — hospital only if allergic reaction
img_124,C:\Users\Purva\snakebite_project\data\images\mud_dauber_bite\mud_Dauber2.jpg,Mud Dauber Wasp,Cytotoxic Venom (mild),"Pain, redness, and slight swelling. They are not aggressive and stings are rare",Immediate,Worst: Allergic reaction very rare,"Clean area, cold compress, analgesic, antihistamine for itching",124,Optional — hospital only if allergic reaction
img_125,C:\Users\Purva\snakebite_project\data\images\recluse_spider_bite\recluse_spider_bite2.jpg,Recluse Spider,Cytotoxic and Hemotoxic Venom,"Often painless initilly or feels like a mild sting. Redness develops, which may progress to a ""bullseye"" lesion (red ring with a pale or blue center)",Delayed,Moderate: Necrosis,"Wash, cold pack, seek medical assessment",125,🏥 Seek hospital — suspected necrotic arachnidism
img_126,C:\Users\Purva\snakebite_project\data\images\red_imported_fire_ant_bite\Red_imported_fire_ant_bite1.jpg,Solenopsis invicta,Alkaloid Venom,Intense burning and itching,Immediate → pustules over hours,Moderate:Systemic allergic reaction,"Remove ants, cold compress, oral antihistamine, topical steroid for itching; see doctor for large reactions",126,hospital if systemic allergic symptoms appear
img_127,C:\Users\Purva\snakebite_project\data\images\red_imported_fire_ant_bite\red_imported_fire_ant_bite2.jpg,Solenopsis invicta,Alkaloid Venom,Intense burning and itching,Immediate → pustules over hours,Moderate:Systemic allergic reaction,"Remove ants, cold compress, oral antihistamine, topical steroid for itching; see doctor for large reactions",127,hospital if systemic allergic symptoms appear
img_128,C:\Users\Purva\snakebite_project\data\images\red_imported_fire_ant_bite\red_imported_fire_ant_bite3.jpg,Solenopsis invicta,Alkaloid Venom,Intense burning and itching,Immediate → pustules over hours,Moderate:Systemic allergic reaction,"Remove ants, cold compress, oral antihistamine, topical steroid for itching; see doctor for large reactions",128,hospital if systemic allergic symptoms appear
img_129,C:\Users\Purva\snakebite_project\data\images\red_imported_fire_ant_bite\red_imported_fire_ant_bite4.jpg,Solenopsis invicta,Alkaloid Venom,Intense burning and itching,Immediate → pustules over hours,Moderate:Systemic allergic reaction,"Remove ants, cold compress, oral antihistamine, topical steroid for itching; see doctor for large reactions",129,hospital if systemic allergic symptoms appear
img_130,C:\Users\Purva\snakebite_project\data\images\wasp_stings\wasp_stings1.jpg,Wasp,Cytotoxic Venom,"Sharp, intense pain. Redness, swelling and itching",Immediate,Worst: Anaphylaxis,"Clean, cold compress, antihistamine, analgesics; epinephrine for anaphylaxis",130,hospital if swelling spreads or breathing difficulty
img_131,C:\Users\Purva\snakebite_project\data\images\wasp_stings\wasp_stings2.jpg,Wasp,Cytotoxic Venom,"Sharp, intense pain. Redness, swelling and itching",Immediate,Worst: Anaphylaxis,"Clean, cold compress, antihistamine, analgesics; epinephrine for anaphylaxis",131,hospital if swelling spreads or breathing difficulty
img_132,C:\Users\Purva\snakebite_project\data\images\wasp_stings\wasp_stings3.jpg,Wasp,Cytotoxic Venom,"Sharp, intense pain. Redness, swelling and itching",Immediate,Worst: Anaphylaxis,"Clean, cold compress, antihistamine, analgesics; epinephrine for anaphylaxis",132,hospital if swelling spreads or breathing difficulty
img_133,C:\Users\Purva\snakebite_project\data\images\wasp_stings\wasp_stings4.jpg,Wasp,Cytotoxic Venom,"Sharp, intense pain. Redness, swelling and itching",Immediate,Worst: Anaphylaxis,"Clean, cold compress, antihistamine, analgesics; epinephrine for anaphylaxis",133,hospital if swelling spreads or breathing difficulty
img_134,C:\Users\Purva\snakebite_project\data\images\wasp_stings\wasp_stings5.jpg,Wasp,Cytotoxic Venom,"Sharp, intense pain. Redness, swelling and itching",Immediate,Worst: Anaphylaxis,"Clean, cold compress, antihistamine, analgesics; epinephrine for anaphylaxis",134,hospital if swelling spreads or breathing difficulty
img_135,C:\Users\Purva\snakebite_project\data\images\wasp_stings\wasp_stings6.jpg,Wasp,Cytotoxic Venom,"Sharp, intense pain. Redness, swelling and itching",Immediate,Worst: Anaphylaxis,"Clean, cold compress, antihistamine, analgesics; epinephrine for anaphylaxis",135,hospital if swelling spreads or breathing difficulty
img_136,C:\Users\Purva\snakebite_project\data\images\wasp_stings\wasp_stings7.jpg,Wasp,Cytotoxic Venom,"Sharp, intense pain. Redness, swelling and itching",Immediate,Worst: Anaphylaxis,"Clean, cold compress, antihistamine, analgesics; epinephrine for anaphylaxis",136,hospital if swelling spreads or breathing difficulty
img_137,C:\Users\Purva\snakebite_project\data\images\yellow_jacket_sting\yellow_Jacket_Bite.webp,Yellow Jackets,Cytotoxic Venom. Stinger NOT typically left behind,"sharp, intense pain. Redness, swelling and itching",Immediate; delayed swelling may peak 24–48 hours,Moderate:Severe allergic reaction,"Remove stinger if present (yellow jackets do not leave stinger usually), cold compress, antihistamines, topical steroids for large local reaction; seek care if breathing difficulties",137,hospital if large local reaction or multiple stings
img_138,C:\Users\Purva\snakebite_project\data\images\yellow_jacket_sting\yellow_jacket_sting1_40hrs.webp,Yellow Jackets,Cytotoxic Venom. Stinger NOT typically left behind,"sharp, intense pain. Redness, swelling and itching",Immediate; delayed swelling may peak 24–48 hours,Moderate:Severe allergic reaction,"Remove stinger if present (yellow jackets do not leave stinger usually), cold compress, antihistamines, topical steroids for large local reaction; seek care if breathing difficulties",138,hospital if large local reaction or multiple stings
img_139,C:\Users\Purva\snakebite_project\data\images\yellow_jacket_sting\yellow_jacket_sting2_24hrs.webp,Yellow Jackets,Cytotoxic Venom. Stinger NOT typically left behind,"sharp, intense pain. Redness, swelling and itching",Immediate; delayed swelling may peak 24–48 hours,Moderate:Severe allergic reaction,"Remove stinger if present (yellow jackets do not leave stinger usually), cold compress, antihistamines, topical steroids for large local reaction; seek care if breathing difficulties",139,hospital if large local reaction or multiple stings
img_140,C:\Users\Purva\snakebite_project\data\images\yellow_jacket_sting\yellow_jacket_stings.jpg,Yellow Jackets,Cytotoxic Venom. Stinger NOT typically left behind,"sharp, intense pain. Redness, swelling and itching",Immediate; delayed swelling may peak 24–48 hours,Moderate:Severe allergic reaction,"Remove stinger if present (yellow jackets do not leave stinger usually), cold compress, antihistamines, topical steroids for large local reaction; seek care if breathing difficulties",140,hospital if large local reaction or multiple stings
img_141,C:\Users\Purva\snakebite_project\data\images\yellow_jacket_sting\yellow_jacket_stings2.jpg,Yellow Jackets,Cytotoxic Venom. Stinger NOT typically left behind,"sharp, intense pain. Redness, swelling and itching",Immediate; delayed swelling may peak 24–48 hours,Moderate:Severe allergic reaction,"Remove stinger if present (yellow jackets do not leave stinger usually), cold compress, antihistamines, topical steroids for large local reaction; seek care if breathing difficulties",141,hospital if large local reaction or multiple stings